,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status,med_detail_batch_id,med_detail_scrape_date,med_detail_scrape_status,title,upload_date,duration,plays,rating,reviews,track_type,activity,suitable_for,topics,description,meditation_url,image_url
9311,alisonhutchens,/guided-meditations/f8j9j3n9p5k8b1r3a0x5v2m9k1b8b9v8p9s9u2m7,5,2022-12-13 13:24:21.103844,meditation found,63,2022-12-16 22:47:51.701433,title found,Tuning In To My Surroundings,2020-10-03T21:39:11.000Z,PT15M31S,125,4.33,3,guided,Meditation,Everyone,"Consciousness,Health & Happiness,Mindfulness,Presence,Spirituality,Mindfulness Meditation","This relaxing mindfulness meditation runs for about 15 mins and helps you tune in to your surroundings. We become aware of things ""just as they are"" and we learn to accept things ""just as they are ""in our lives.",https://insighttimer.com/alisonhutchens/guided-meditations/tuning-in-to-my-surroundings,https://libraryitems.insighttimer.com/f8j9j3n9p5k8b1r3a0x5v2m9k1b8b9v8p9s9u2m7/pictures/tiny_rectangle_medium.jpeg
9312,alisonhutchens,/guided-meditations/e7p5k7p0c1p2j7f4b2q5b6e2r8h7n1h7b0n7r8v3,5,2022-12-13 13:24:21.103844,meditation found,63,2022-12-16 22:47:54.379721,title found,Soften & Relax - Belly Breathing,2021-11-01T19:42:51.000Z,PT20M5S,89,4,5,guided,Meditation,Everyone,"Stress,Stress & Anxiety,Energy-Based,Concentration,Spirituality,Breathing Meditation",Belly breathing is a deep breathing technique that engages your diaphragm. It is a short rejuvenating practice. which can lower your stress levels. It can calm the nervous system and stay present. You can do this practice sitting on a chair or lying down in a comfortable position.,https://insighttimer.com/alisonhutchens/guided-meditations/soften-and-relax-belly-breathing,https://libraryitems.insighttimer.com/e7p5k7p0c1p2j7f4b2q5b6e2r8h7n1h7b0n7r8v3/pictures/tiny_rectangle_medium.jpeg
9313,alisonhutchens,/guided-meditations/v9d8r6f7f4s7x5m6j2r3x9d7c5c3s7h9q1p0s3h3,5,2022-12-13 13:24:21.105445,meditation found,63,2022-12-16 22:47:58.896719,title found,Learning To Observe Your Thoughts,2021-11-01T19:37:18.000Z,PT6M41S,81,4.62,13,guided,Meditation,Everyone,"Health & Happiness,Relax,Mindfulness,Energy-Based,Spirituality,Mindfulness Meditation","This is a very short mindfulness meditation ( approx 6 mins) to help you become aware of your thoughts. We are teaching ourselves to become ""the observer"" of our own thoughts. This exercise can help us to stay focussed and not allow ourselves to become distracted.",https://insighttimer.com/alisonhutchens/guided-meditations/learning-to-observe-your-thoughts,https://libraryitems.insighttimer.com/v9d8r6f7f4s7x5m6j2r3x9d7c5c3s7h9q1p0s3h3/pictures/tiny_rectangle_medium.jpeg
9314,alisonhutchens,/guided-meditations/b0t1r2u8x4k4q3e5v0w7c7w6b2r2w2u9s6h7v1c7,5,2022-12-13 13:24:21.106368,meditation found,63,2022-12-16 22:48:01.985296,title found,Learning To Relax,2021-11-04T21:38:26.000Z,PT11M7S,81,4.71,7,guided,Meditation,Everyone,"Health & Happiness,Relax,Mindfulness,Energy-Based,Spirituality,Mindfulness Meditation",This is a short body awareness practice that is done sitting upright in a comfortable position. It is a practice that is great for unwinding after a busy day. It can help evoke a relaxation response and reduce stress.,https://insighttimer.com/alisonhutchens/guided-meditations/learning-to-relax-4,https://libraryitems.insighttimer.com/b0t1r2u8x4k4q3e5v0w7c7w6b2r2w2u9s6h7v1c7/pictures/tiny_rectangle_medium.jpeg
9315,alisonhutchens,/guided-meditations/t3p9j2b1h0t0g5f3b0a0n4q3a4w2d3e2k3q8t9e2,5,2022-12-13 13:24:21.107368,meditation found,63,2022-12-16 22:48:04.539778,title found,Mindfulness Of Body,2021-10-30T04:18:22.000Z,PT15M30S,68,4.25,8,guided,Meditation,Everyone,"Health & Happiness,Relax,Mindfulness,Energy-Based,Spirituality,Mindfulness Meditation","This meditation offers a powerful way to tune in to your present-moment experience with your body. You can learn to be mindful of the points of contact of your body anytime — in meditation or throughout your daily life. The body sensations are generally easy to feel, making this an ideal practice for beginners to mindfulness.",https://insighttimer.com/alisonhutchens/guided-meditations/mindfulness-of-body-5,https://libraryitems.insighttimer.com/t3p9j2b1h0t0g5f3b0a0n4q3a4w2d3e2k3q8t9e2/pictures/tiny_rectangle_medium.jpeg
9317,aykanna,/guided-meditations/a5g2j7g2b6w3w5k5t6v5s7z8z8p9p2e6b2g4j1n3,5,2022-12-13 13:25:05.926894,meditation found,63,2022-12-16 22:48:07.111685,title found,I Am What I Am,2016-10-27T20:36:50.000Z,PT4M24S,5k,4.4,262,music,Meditation,Everyone,"Mantra,Divine Connection,Gentle Repetition,Spiritual,Chanting & Mantras,Sikhism,Religion",A reminder that we are the I AM.,https://insighttimer.com/aykanna/guided-meditations/i-am-what-i-am,https://libraryitems.insighttimer.com/a5g2j7g2b6w3w5k5t6v5s7z8z8p9p2e6b2g4j1n3/pictures/tiny_rectangle_medium.jpeg
9318,aykanna,/guided-meditations/m9b0f9p5x7p3n8d1g6c6k3l0t3y6c5d8a8y2h6w5,5,2022-12-13 13:25:05.927904,meditation found,63,2022-12-16 22:48:11.463147,title found,Wahe Guru,2016-10-27T20:40:13.000Z,PT11M2S,4k,4.65,181,music,Meditation,Everyone,"Mantra,Divine Connection,Gentle Repetition,Spiritual,Chanting & Mantras,Sikhism,Religion",A mantra meditation for clearing your arcline and past karma. Composed & arranged by Aykanna. PURJUS publishing/ASCAP. ,https://insighttimer.com/aykanna/guided-meditations/wahe-guru,https://libraryitems.insighttimer.com/m9b0f9p5x7p3n8d1g6c6k3l0t3y6c5d8a8y2h6w5/pictures/tiny_rectangle_medium.jpeg
9319,auntyamanda,/guided-meditations/k3q0s9w4g8z2q4w3f0y9s3f1h9u3g9g4d3v0h1e1,5,2022-12-13 13:25:28.767974,meditation found,63,2022-12-16 22:48:14.831425,title found,Effortless Connection With Your Self,2020-11-23T10:15:04.000Z,PT29M4S,603,4.8,46,guided,Meditation,Everyone,"Vedic Tradition,Visualization,Acceptance,Health & Happiness,Secular,Compassion Meditation,Spirituality,Secular Mindfulness","In this guided effortless mediation, we slow down and tune into our ever-present breath before slowly winding down the stress levels within our bodies. In this simple practice, we sit with ourselves and rest our awareness on the rhythm of our own bodies.  ",https://insighttimer.com/auntyamanda/guided-meditations/effortless-connection-with-your-self,https://libraryitems.insighttimer.com/k3q0s9w4g8z2q4w3f0y9s3f1h9u3g9g4d3v0h1e1/pictures/tiny_rectangle_medium.jpeg
9320,auntyamanda,/guided-meditations/v3m5e5k9c3c0z5d9x1v1e9q7q4q6a0v9a2a9v0z2,5,2022-12-13 13:25:28.769975,meditation found,63,2022-12-16 22:48:17.719916,title found,Self-Love And Kindness For The Body,2020-11-23T09:51:36.000Z,PT29M4S,447,4.82,17,guided,Meditation,Everyone,"Vedic Tradition,Visualization,Acceptance,Health & Happiness,Secular,Compassion Meditation,Spirituality,Secular Mindfulness","Beginning with easy breathing and a focussed body scan, the listener is guided to a place of love, admiration and awe for their body. The practice is effortless in nature and suitable for all levels of meditation experience.",https://insighttimer.com/auntyamanda/guided-meditations/self-love-and-kindness-for-the-body,https://libraryitems.insighttimer.com/v3m5e5k9c3c0z5d9x1v1e9q7q4q6a0v9a2a9v0z2/pictures/tiny_rectangle_medium.jpeg
9321,auntyamanda,/guided-meditations/t8v0u5v4z0k0u5m9q6n7z7t9s8b8q2z1w9p8t6l3,5,2022-12-13 13:25:28.771009,meditation found,63,2022-12-16 22:48:22.649479,title found,An Effortlessly Happy Place,2020-11-29T09:08:20.000Z,PT29M4S,244,4.93,14,guided,Meditation,Everyone,"Vedic Tradition,Visualization,Acceptance,Health & Happiness,Secular,Compassion Meditation,Spirituality,Secular Mindfulness","Beginning with easy breathing and a focussed body scan, the listener is guided through a visualisation of a time they felt happy, safe, and content in front of a fire. Perfect for self-acceptance and confidence, the practice is effortless and suitable for all levels of meditation experience.",https://insighttimer.com/auntyamanda/guided-meditations/an-effortlessly-happy-place,https://libraryitems.insighttimer.com/t8v0u5v4z0k0u5m9q6n7z7t9s8b8q2z1w9p8t6l3/pictures/tiny_rectangle_medium.jpeg
