,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status
0,theintimacyguide,/guided-meditations/u6w7u9z0p5h8d6a9d4g6b6u9y7d4x9k9h9z1a9u5,9,2022-12-13 15:01:07.423779,meditation found
1,theintimacyguide,/guided-meditations/t0h2g2b7j8w7h6k9n5b5z0k8a5w6b6a2q3c7w0r9,9,2022-12-13 15:01:07.424777,meditation found
2,theintimacyguide,/guided-meditations/x6j6w1q1j1v7v0t1m8u2h1t9n1v4u9v6t3y4s4q1,9,2022-12-13 15:01:07.425755,meditation found
3,alextacket,/guided-meditations/f8h4d2y1r9d5g0n5a0c5q0t0e1e6z7w0e8q1j5e4,9,2022-12-13 15:01:13.716979,meditation found
4,alextacket,/guided-meditations/p4p0t6m4g1w2l6m9f8f5t0t9r2x0l1w3b8p7j3k2,9,2022-12-13 15:01:13.717955,meditation found
5,alisasimonenko,/guided-meditations/x7s7q8s1c2x0d3q2h8t5w8k6b7k6f0r6f7e5n8l6,9,2022-12-13 15:01:23.875875,meditation found
6,alisasimonenko,/guided-meditations/j4m6n4t5w5u2t7b2m5h2w9m7d2h2y8m0w7e5j1u2,9,2022-12-13 15:01:23.877893,meditation found
7,alisasimonenko,/guided-meditations/b9b7c9p2x5p7j5s9a2u1x8q5m4q4e6d8v5y4b0a3,9,2022-12-13 15:01:23.878893,meditation found
8,ank-hara,/guided-meditations/s8n2y2u9h4d0j2e7d3v4m7z9n3h2v9f9s9b8d6n3,9,2022-12-13 15:01:46.170598,meditation found
9,ank-hara,/guided-meditations/t1e5x3u4c3f9v0b7m9n3e1b0d2k0p1f5v4a8n5p0,9,2022-12-13 15:01:46.171207,meditation found
10,ank-hara,/guided-meditations/f3m2g4f5q8k1l8f4j7g1r4n0g9e9n3b0x4h4r2u7,9,2022-12-13 15:01:46.172276,meditation found
11,ank-hara,/guided-meditations/z6g9a3s3g3h4v7p4q3h3v2r9x3x2l0q5x5g4f5z3,9,2022-12-13 15:01:46.173252,meditation found
12,ank-hara,/guided-meditations/b0h4f0t6x8l7t6b6g0y5x6s2g8n8d6e1j7b4z8n5,9,2022-12-13 15:01:46.174308,meditation found
13,ank-hara,/guided-meditations/g5v1r7u1g8d6l1n2a4c0y8m6b6x4x5a7t9t1a7g5,9,2022-12-13 15:01:46.175254,meditation found
14,ank-hara,/guided-meditations/f2v1n5v6y3b4l5l5w4v1q4y8f5g9j5n9b2q3m9q3,9,2022-12-13 15:01:46.175254,meditation found
15,carolpcost00001,,9,2022-12-13 15:02:05.172658,meditations not found
16,anuttara,/guided-meditations/w6d7q2k6d7f0q8q0p1w3m7x8f0v1y7b4n4q1g5z2,9,2022-12-13 15:02:29.408601,meditation found
17,anuttara,/guided-meditations/w7t3f8d5n7b3g6m9a6d3z5s6n7s6g9b4c7s5g5s9,9,2022-12-13 15:02:29.409606,meditation found
18,agusavila,/guided-meditations/v1r4k3g6a4e2s1p4l1w2d0d7a6t4m8m0t9r4c6m5,9,2022-12-13 15:02:51.638613,meditation found
19,agusavila,/guided-meditations/u3g3w9u7q3a7d7t2c0a0q8g5g7k1e9t5k4m5l0w4,9,2022-12-13 15:02:51.640225,meditation found
20,ancientbliss,/guided-meditations/v1g9l4q6s6l7c7j9z5s4n6z8z8y9k0x0w4q2h3d7,9,2022-12-13 15:03:14.229948,meditation found
21,ancientbliss,/guided-meditations/g4c7j9a0g4w7f1m3j1b7u6c0m0k9z9v0p4v7k6r2,9,2022-12-13 15:03:14.231275,meditation found
22,ancientbliss,/guided-meditations/y3a1c2h9a0j6x8u8z2j2r3h2p9s3x0y5w8m0x7r2,9,2022-12-13 15:03:14.232288,meditation found
23,ancientbliss,/guided-meditations/f1x3n5f0l7h2x3f9j9r8s8t4d5n0q7f8a5p0c9k6,9,2022-12-13 15:03:14.233285,meditation found
24,ancientbliss,/guided-meditations/j4s2r7r1p1x1t0y7p0s1x8l0n9r9n9k5p2a8g9q8,9,2022-12-13 15:03:14.234392,meditation found
25,anzahata,/guided-meditations/j7n3t1n8f4r2t1f3t4p8c6v4a2a7r2c9b4w1w5k3,9,2022-12-13 15:03:36.453637,meditation found
26,laly,/guided-meditations/r1e9n1r5j1p3t8d6z3a4q4h0q7f4p6l6d3k2m1w3,9,2022-12-13 15:04:01.443723,meditation found
27,laly,/guided-meditations/t0y5h9a2x4s5c0p5m8a8s1r0x8d8d1s4f0r8g3f9,9,2022-12-13 15:04:01.445888,meditation found
28,laly,/guided-meditations/y2q9y2g4q5h7g9q9g1c4n4f3r4x1f9n6e0j6m8g8,9,2022-12-13 15:04:01.446953,meditation found
29,laly,/guided-meditations/n7y9v3c5f0d5t8u7s9d0z0s5s4q0z3w2l9r6h5n9,9,2022-12-13 15:04:01.449055,meditation found
30,asha-akashicrecords,/guided-meditations/d2k6x4w5k3a6v2a5c2m8b6v4u1u6w1z7f5c4j2b7,9,2022-12-13 15:04:08.242182,meditation found
31,asha-akashicrecords,/guided-meditations/p7l9z5q8h3w1j3p9q2u6c7v0a6d5a1z9b7b5s4z4,9,2022-12-13 15:04:08.243193,meditation found
32,asha-akashicrecords,/guided-meditations/x2w1y0d9p8j6q2j7q9r6w1d8v6q2w1q4s9c5y5n2,9,2022-12-13 15:04:08.244192,meditation found
33,asha-akashicrecords,/guided-meditations/m3s3v6t3n4s4f9y1z3t5r7c9a0j5u5c3m0r3k6y2,9,2022-12-13 15:04:08.245192,meditation found
34,asha-akashicrecords,/guided-meditations/x4w8d2t9d9h0j0p5k7q2f8f9v9c7u1q5k2g0f9r7,9,2022-12-13 15:04:08.245192,meditation found
35,asha-akashicrecords,/guided-meditations/d3f4a4c5b4g8d7z8z8v4q0f0g4r7e2m7c2z1e2x5,9,2022-12-13 15:04:08.246192,meditation found
