,teacher_id,med_list_batch_id
0,andrewjohnson,1
1,andyhobson,1
2,alunamoonpublishing,1
3,peacebeyondsuffering,1
4,andreawachter,1
5,alex_elle,1
6,annemareerowley,1
7,ariellehecht,1
8,amandasellers,1
9,aarondarrell,1
10,andrewmartin,1
11,undefined,1
12,truerestmeditation,1
13,alisonserour,1
14,allyboothroyd,1
15,angelakontgen,1
16,amypatee,1
17,aljeffery,1
18,alexandralove,1
19,anika.henkelmann,1
20,adrianmolina,1
21,anabarreto,1
22,alisha,1
23,couleurbe,1
24,annevanleeuwen,1
25,tonydemello,1
26,newmessage,1
27,ajbicat,1
28,azurepeace,1
29,anamarquardtinsight,1
30,arielhardy,1
31,aeoliah,1
32,luftundliebe,1
33,albinalocarno,1
34,mindfultime,1
35,ajahnanan,1
36,drandrea,1
37,agustinvidal,1
38,ajahnsumedho,1
39,acimlessons,1
40,amrityogainstitute,1
41,affirmationsbyalyssa,1
42,mindspaceuk,1
43,americanmeditationsociety,1
44,annawawrzyniak,1
45,alisonpottsinnatebeing,1
46,annapatricia,1
47,meditabr,1
48,ajahnchah,1
49,aviadir,1
50,aaronmichaelpyne,1
51,amysaltzman,1
52,amypatteecolvin,1
53,adrianadossantos,1
54,anniegospodin,1
55,ajahnsucitto,1
56,aysedurmush,1
57,ashkhen,1
58,spiritofnorton,1
59,aangaakha,1
60,anapaulasantamarina,1
61,vitavoice,1
62,peacegame,1
63,activemeditation,1
64,ajahndhammasiha,1
65,alignedmuse,1
66,aviannacastro,1
67,anneangelone,1
68,handpanmeditatie,1
69,andreabelzer,1
70,miraculousperception,1
71,adrianfreedman,1
72,arminvanbuuren,1
73,anaamaly,1
74,yogasouhl,1
75,andylee,1
76,arli,1
77,anandisleepguru,1
78,kovalchuka,1
79,andrewreeves,1
80,ameliaandaleon,1
81,alanpeto,1
82,annewatkins,1
83,alexanderbaranovsky,1
84,theglobalyogi,1
85,anomal,1
86,alara-sage,1
87,amritsandhu,1
88,anjeysatori,1
89,amadeus.astefanesei,1
90,enoblique,1
91,adoreyoga,1
92,annlicater,1
93,alexandraroxo,1
94,anoukanansi,1
95,annamarialove,1
96,asoulcalledjoel,1
97,attachmentrepair,1
98,thisisangelique,1
99,yogawithannamanalastas,1
100,raiseyourvibe,2
101,agustina.consulpsi,2
102,andreikisselev,2
103,aspenmarino,2
104,gospeltalk,2
105,audiobyak,2
106,arjunaishaya,2
107,aanumeditacion,2
108,vajralee,2
109,adivajra,2
110,alexbuta,2
111,annelewis,2
112,alquimiadelcielo,2
113,albertflynndesilver,2
114,alanhecker,2
115,andreasziorjen,2
116,alysonkrisher,2
117,mindmgt,2
118,alitempleyoga,2
119,aprilwagnerwellbeing,2
120,nomorewords,2
121,analilia,2
122,almendrahealthy,2
123,anastasiasavdeeva,2
124,hypnophi,2
125,pub15939752,2
126,amandaleaveck,2
127,amyrobeson,2
128,breathingheart,2
129,camilacapel,2
130,anando,2
131,abigailpoulton,2
132,albertoazevedo,2
133,amberbartek,2
134,achtsamkai,2
135,annabelledrumm,2
136,anoukbrack,2
137,lala,2
138,alexbores,2
139,annelinnebank,2
140,ailikuutan,2
141,amyash,2
142,wildhearted,2
143,lamindspa,2
144,alejandravillarreal,2
145,asieralabarte,2
146,astridbrinck,2
147,alexnaz,2
148,anapaulafantin,2
149,mindyakasha,2
150,affirmationcircle,2
151,alinemerlim,2
152,amisha,2
153,alisa.kotlyar,2
154,acharyashunya,2
155,aboveandbeyond,2
156,ashleybaer,2
157,thebestisyet_to_come,2
158,aline.panhan,2
159,angelicavasquez,2
160,arvindnaik,2
161,skepticspath,2
162,alisondavid,2
163,annalisagrova,2
164,fukunaga,2
165,ajahncandasiri,2
166,jaga.life,2
167,anacbpinto,2
168,analago,2
169,meditationsliebe,2
170,anneliesdezaeytijd,2
171,oneawakening,2
172,asmilefromheaven,2
173,sacredearthsiundtherapy,2
174,ancestralknowledge,2
175,bemorewithanu,2
176,amybrown,2
177,adalmmusic,2
178,artsadhana,2
179,antoninashuvankina,2
180,amishijha,2
181,amlamusic,2
182,aliciadavis,2
183,andysmindcandy,2
184,xotheashleyeve,2
185,alexanderbabkin,2
186,heaveninmybody,2
187,annasyogaochreiki,2
188,astralwolfrecords,2
189,forceone,2
190,davidandadrienne,2
191,amber,2
192,elsaferreira,2
193,qihappy,2
194,avriljames,2
195,acharyadas,2
196,ana_sofia_chufani,2
197,aramarz,2
198,alisonschuhhawsey,2
199,alyssasnowyogi,2
200,andrea,3
201,amberpolo,3
202,iavani,3
203,alexandra74,3
204,ailsaburns,3
205,annosa790814,3
206,psychicmediumjennlefevre,3
207,dreroye,3
208,aluna,3
209,ariannahuffington,3
210,andyhix,3
211,andreasruoccos,3
212,avrahamshira,3
213,aiyanadelprado,3
214,thebostonbuddha,3
215,beeshanti,3
216,anfurst,3
217,alessandraplesi,3
218,alanafernandez,3
