,teacher_id,alpha_index,batch_id
0,andrewjohnson,a,1
1,andyhobson,a,1
2,alunamoonpublishing,a,1
3,peacebeyondsuffering,a,1
4,andreawachter,a,1
5,alex_elle,a,1
6,annemareerowley,a,1
7,ariellehecht,a,1
8,amandasellers,a,1
9,aarondarrell,a,1
10,andrewmartin,a,1
11,undefined,a,1
12,truerestmeditation,a,1
13,alisonserour,a,1
14,allyboothroyd,a,1
15,angelakontgen,a,1
16,amypatee,a,1
17,aljeffery,a,1
18,alexandralove,a,1
19,anika.henkelmann,a,1
20,adrianmolina,a,1
21,anabarreto,a,1
22,alisha,a,1
23,couleurbe,a,1
24,annevanleeuwen,a,1
25,tonydemello,a,1
26,newmessage,a,1
27,ajbicat,a,1
28,azurepeace,a,1
29,anamarquardtinsight,a,1
30,arielhardy,a,1
31,aeoliah,a,1
32,luftundliebe,a,1
33,albinalocarno,a,1
34,mindfultime,a,1
35,ajahnanan,a,1
36,drandrea,a,1
37,agustinvidal,a,1
38,ajahnsumedho,a,1
39,acimlessons,a,1
40,amrityogainstitute,a,1
41,affirmationsbyalyssa,a,1
42,mindspaceuk,a,1
43,americanmeditationsociety,a,1
44,annawawrzyniak,a,1
45,alisonpottsinnatebeing,a,1
46,annapatricia,a,1
47,meditabr,a,1
48,ajahnchah,a,1
49,aviadir,a,1
50,aaronmichaelpyne,a,1
51,amysaltzman,a,1
52,amypatteecolvin,a,1
53,adrianadossantos,a,1
54,anniegospodin,a,1
55,ajahnsucitto,a,1
56,aysedurmush,a,1
57,ashkhen,a,1
58,spiritofnorton,a,1
59,aangaakha,a,1
60,anapaulasantamarina,a,1
61,vitavoice,a,1
62,peacegame,a,1
63,activemeditation,a,1
64,ajahndhammasiha,a,1
65,alignedmuse,a,1
66,aviannacastro,a,1
67,anneangelone,a,1
68,handpanmeditatie,a,1
69,andreabelzer,a,1
70,miraculousperception,a,1
71,adrianfreedman,a,1
72,arminvanbuuren,a,1
73,anaamaly,a,1
74,yogasouhl,a,1
75,andylee,a,1
76,arli,a,1
77,anandisleepguru,a,1
78,kovalchuka,a,1
79,andrewreeves,a,1
80,ameliaandaleon,a,1
81,alanpeto,a,1
82,annewatkins,a,1
83,alexanderbaranovsky,a,1
84,theglobalyogi,a,1
85,anomal,a,1
86,alara-sage,a,1
87,amritsandhu,a,1
88,anjeysatori,a,1
89,amadeus.astefanesei,a,1
90,enoblique,a,1
91,adoreyoga,a,1
92,annlicater,a,1
93,alexandraroxo,a,1
94,anoukanansi,a,1
95,annamarialove,a,1
96,asoulcalledjoel,a,1
97,attachmentrepair,a,1
98,thisisangelique,a,1
99,yogawithannamanalastas,a,1
100,raiseyourvibe,a,2
101,agustina.consulpsi,a,2
102,andreikisselev,a,2
103,aspenmarino,a,2
104,gospeltalk,a,2
105,audiobyak,a,2
106,arjunaishaya,a,2
107,aanumeditacion,a,2
108,vajralee,a,2
109,adivajra,a,2
110,alexbuta,a,2
111,annelewis,a,2
112,alquimiadelcielo,a,2
113,albertflynndesilver,a,2
114,alanhecker,a,2
115,andreasziorjen,a,2
116,alysonkrisher,a,2
117,mindmgt,a,2
118,alitempleyoga,a,2
119,aprilwagnerwellbeing,a,2
120,nomorewords,a,2
121,analilia,a,2
122,almendrahealthy,a,2
123,anastasiasavdeeva,a,2
124,hypnophi,a,2
125,pub15939752,a,2
126,amandaleaveck,a,2
127,amyrobeson,a,2
128,breathingheart,a,2
129,camilacapel,a,2
130,anando,a,2
131,abigailpoulton,a,2
132,albertoazevedo,a,2
133,amberbartek,a,2
134,achtsamkai,a,2
135,annabelledrumm,a,2
136,anoukbrack,a,2
137,lala,a,2
138,alexbores,a,2
139,annelinnebank,a,2
140,ailikuutan,a,2
141,amyash,a,2
142,wildhearted,a,2
143,lamindspa,a,2
144,alejandravillarreal,a,2
145,asieralabarte,a,2
146,astridbrinck,a,2
147,alexnaz,a,2
148,anapaulafantin,a,2
149,mindyakasha,a,2
150,affirmationcircle,a,2
151,alinemerlim,a,2
152,amisha,a,2
153,alisa.kotlyar,a,2
154,acharyashunya,a,2
155,aboveandbeyond,a,2
156,ashleybaer,a,2
157,thebestisyet_to_come,a,2
158,aline.panhan,a,2
159,angelicavasquez,a,2
160,arvindnaik,a,2
161,skepticspath,a,2
162,alisondavid,a,2
163,annalisagrova,a,2
164,fukunaga,a,2
165,ajahncandasiri,a,2
166,jaga.life,a,2
167,anacbpinto,a,2
168,analago,a,2
169,meditationsliebe,a,2
170,anneliesdezaeytijd,a,2
171,oneawakening,a,2
172,asmilefromheaven,a,2
173,sacredearthsiundtherapy,a,2
174,ancestralknowledge,a,2
175,bemorewithanu,a,2
176,amybrown,a,2
177,adalmmusic,a,2
178,artsadhana,a,2
179,antoninashuvankina,a,2
180,amishijha,a,2
181,amlamusic,a,2
182,aliciadavis,a,2
183,andysmindcandy,a,2
184,xotheashleyeve,a,2
185,alexanderbabkin,a,2
186,heaveninmybody,a,2
187,annasyogaochreiki,a,2
188,astralwolfrecords,a,2
189,forceone,a,2
190,davidandadrienne,a,2
191,amber,a,2
192,elsaferreira,a,2
193,qihappy,a,2
194,avriljames,a,2
195,acharyadas,a,2
196,ana_sofia_chufani,a,2
197,aramarz,a,2
198,alisonschuhhawsey,a,2
199,alyssasnowyogi,a,2
200,andrea,a,3
201,amberpolo,a,3
202,iavani,a,3
203,alexandra74,a,3
204,ailsaburns,a,3
205,annosa790814,a,3
206,psychicmediumjennlefevre,a,3
207,dreroye,a,3
208,aluna,a,3
209,ariannahuffington,a,3
210,andyhix,a,3
211,andreasruoccos,a,3
212,avrahamshira,a,3
213,aiyanadelprado,a,3
214,thebostonbuddha,a,3
215,beeshanti,a,3
216,anfurst,a,3
217,alessandraplesi,a,3
218,alanafernandez,a,3
219,alikatz,a,3
220,aaliyahmadadi,a,3
221,ambikachant,a,3
222,andreavaliante,a,3
223,analiaherrlein,a,3
224,amigosdeluz,a,3
225,apramadalifestyle,a,3
226,alicebh,a,3
227,annapn,a,3
228,angelarosellc,a,3
229,alisapoplavskaya,a,3
230,arjen,a,3
231,mandaliahouse,a,3
232,aconsciousspace,a,3
233,geniuspoet,a,3
234,martineznotte,a,3
235,anitakaiserwellness,a,3
236,soundmind,a,3
237,swiftriverhorizons,a,3
238,angelapatnode,a,3
239,anurada,a,3
240,antoniocelotto,a,3
241,abbyroad,a,3
242,alexagoncalves,a,3
243,almir,a,3
244,andyotto,a,3
245,alejandrom,a,3
246,aphinya,a,3
247,enlightenwithalex,a,3
248,andreahalaby,a,3
249,analeescottprater,a,3
250,speakitintoexistence,a,3
251,ashleyhuntmeditation,a,3
252,anukampa,a,3
253,anthonybr,a,3
254,andrebritto,a,3
255,angiegallis,a,3
256,aprilsingsalot,a,3
257,adrianaspataru,a,3
258,andreabassanini,a,3
259,aleksandrvolodin,a,3
260,adelestewart,a,3
261,africayogaproject,a,3
262,angelicacaceres,a,3
263,anishamahajan,a,3
264,anthonynuod,a,3
265,atmosphare,a,3
266,aubklein,a,3
267,sylvani,a,3
268,andkeh,a,3
269,alicialove,a,3
270,anthonyprofeta,a,3
271,thehausofhealth,a,3
272,annaeb,a,3
273,empowheryou,a,3
274,annashelley,a,3
275,alexandra_mclash,a,3
276,avinoamlerner,a,3
277,amymingin,a,3
278,arinaribeiro,a,3
279,naturallyashlie,a,3
280,aswathaman,a,3
281,ancientmemory,a,3
282,annabellebini,a,3
283,amaratmakaur,a,3
284,alexssi,a,3
285,alexis_bethel,a,3
286,amandamossing,a,3
287,amandahayes,a,3
288,ashleychymiy,a,3
289,anishanirvani,a,3
290,abbywynne,a,3
291,andresph,a,3
292,activepause,a,3
293,art,a,3
294,alspacas,a,3
295,annabellezinser,a,3
296,achtsamkeitmitanna,a,3
297,acorn.content,a,3
298,anesumbizvo,a,3
299,amymoroz,a,3
300,mindfulnessmeetingplace,a,4
301,annevetter,a,4
302,andrewdaniel,a,4
303,andrianacrawford,a,4
304,adrienneione,a,4
305,amandadicristina,a,4
306,breathecalmuk,a,4
307,annasofia,a,4
308,andreaashley,a,4
309,amitaschmidt,a,4
310,aldigo,a,4
311,alexandraarbogast,a,4
312,annahataliving,a,4
313,angelique_meditation,a,4
314,frommindtoheart,a,4
315,alanaearthangel,a,4
316,alleycatreiki,a,4
317,amykerr,a,4
318,lovelightschool,a,4
319,pub195086,a,4
320,authenticparenting,a,4
321,alextripod,a,4
322,alicianidra,a,4
323,allybogard,a,4
324,anneadametz,a,4
325,andreakrejciparadis,a,4
326,aliciacramer,a,4
327,anniewood,a,4
328,aleksandar,a,4
329,anne1166,a,4
330,nourishedteachers,a,4
331,andunlop,a,4
332,adricardoso,a,4
333,aimeecoenen,a,4
334,annette,a,4
