,teacher_id,alpha_index
0,andrewjohnson,a
1,andyhobson,a
2,alunamoonpublishing,a
3,peacebeyondsuffering,a
4,andreawachter,a
5,alex_elle,a
6,annemareerowley,a
7,ariellehecht,a
8,amandasellers,a
9,aarondarrell,a
10,andrewmartin,a
11,undefined,a
12,truerestmeditation,a
13,alisonserour,a
14,allyboothroyd,a
15,angelakontgen,a
16,amypatee,a
17,aljeffery,a
18,alexandralove,a
19,anika.henkelmann,a
20,adrianmolina,a
21,anabarreto,a
22,alisha,a
23,couleurbe,a
24,annevanleeuwen,a
25,tonydemello,a
26,newmessage,a
27,ajbicat,a
28,azurepeace,a
29,anamarquardtinsight,a
30,arielhardy,a
31,aeoliah,a
32,luftundliebe,a
33,albinalocarno,a
34,mindfultime,a
35,ajahnanan,a
36,drandrea,a
37,agustinvidal,a
38,ajahnsumedho,a
39,acimlessons,a
40,amrityogainstitute,a
41,affirmationsbyalyssa,a
42,mindspaceuk,a
43,americanmeditationsociety,a
44,annawawrzyniak,a
45,alisonpottsinnatebeing,a
46,annapatricia,a
47,meditabr,a
48,ajahnchah,a
49,aviadir,a
50,aaronmichaelpyne,a
51,amysaltzman,a
52,amypatteecolvin,a
53,adrianadossantos,a
54,anniegospodin,a
55,ajahnsucitto,a
56,aysedurmush,a
57,ashkhen,a
58,spiritofnorton,a
59,aangaakha,a
60,anapaulasantamarina,a
61,vitavoice,a
62,peacegame,a
63,activemeditation,a
64,ajahndhammasiha,a
65,alignedmuse,a
66,aviannacastro,a
67,anneangelone,a
68,handpanmeditatie,a
69,andreabelzer,a
70,miraculousperception,a
71,adrianfreedman,a
72,arminvanbuuren,a
73,anaamaly,a
74,yogasouhl,a
75,andylee,a
76,arli,a
77,anandisleepguru,a
78,kovalchuka,a
79,andrewreeves,a
80,ameliaandaleon,a
81,alanpeto,a
82,annewatkins,a
83,alexanderbaranovsky,a
84,theglobalyogi,a
85,anomal,a
86,alara-sage,a
87,amritsandhu,a
88,anjeysatori,a
89,amadeus.astefanesei,a
90,enoblique,a
91,adoreyoga,a
92,annlicater,a
93,alexandraroxo,a
94,anoukanansi,a
95,annamarialove,a
96,asoulcalledjoel,a
97,attachmentrepair,a
98,thisisangelique,a
99,yogawithannamanalastas,a
100,raiseyourvibe,a
101,agustina.consulpsi,a
102,andreikisselev,a
103,aspenmarino,a
104,gospeltalk,a
105,audiobyak,a
106,arjunaishaya,a
107,aanumeditacion,a
108,vajralee,a
109,adivajra,a
110,alexbuta,a
111,annelewis,a
112,alquimiadelcielo,a
113,albertflynndesilver,a
114,alanhecker,a
115,andreasziorjen,a
116,alysonkrisher,a
117,mindmgt,a
118,alitempleyoga,a
119,aprilwagnerwellbeing,a
120,nomorewords,a
121,analilia,a
122,almendrahealthy,a
123,anastasiasavdeeva,a
124,hypnophi,a
125,pub15939752,a
126,amandaleaveck,a
127,amyrobeson,a
128,breathingheart,a
129,camilacapel,a
130,anando,a
131,abigailpoulton,a
132,albertoazevedo,a
133,amberbartek,a
134,achtsamkai,a
135,annabelledrumm,a
136,anoukbrack,a
137,lala,a
138,alexbores,a
139,annelinnebank,a
140,ailikuutan,a
141,amyash,a
142,wildhearted,a
143,lamindspa,a
144,alejandravillarreal,a
145,asieralabarte,a
146,astridbrinck,a
147,alexnaz,a
148,anapaulafantin,a
149,mindyakasha,a
150,affirmationcircle,a
151,alinemerlim,a
152,amisha,a
153,alisa.kotlyar,a
154,acharyashunya,a
155,aboveandbeyond,a
156,ashleybaer,a
157,thebestisyet_to_come,a
158,aline.panhan,a
159,angelicavasquez,a
160,arvindnaik,a
161,skepticspath,a
162,alisondavid,a
163,annalisagrova,a
164,fukunaga,a
165,ajahncandasiri,a
166,jaga.life,a
167,anacbpinto,a
168,analago,a
169,meditationsliebe,a
170,anneliesdezaeytijd,a
171,oneawakening,a
172,asmilefromheaven,a
173,sacredearthsiundtherapy,a
174,ancestralknowledge,a
175,bemorewithanu,a
176,amybrown,a
177,adalmmusic,a
178,artsadhana,a
179,antoninashuvankina,a
180,amishijha,a
181,amlamusic,a
182,aliciadavis,a
183,andysmindcandy,a
184,xotheashleyeve,a
185,alexanderbabkin,a
186,heaveninmybody,a
187,annasyogaochreiki,a
188,astralwolfrecords,a
189,forceone,a
190,davidandadrienne,a
191,amber,a
192,elsaferreira,a
193,qihappy,a
194,avriljames,a
195,acharyadas,a
196,ana_sofia_chufani,a
197,aramarz,a
198,alisonschuhhawsey,a
199,alyssasnowyogi,a
200,andrea,a
201,amberpolo,a
202,iavani,a
203,alexandra74,a
204,ailsaburns,a
205,annosa790814,a
206,psychicmediumjennlefevre,a
207,dreroye,a
208,aluna,a
209,ariannahuffington,a
210,andyhix,a
211,andreasruoccos,a
212,avrahamshira,a
213,aiyanadelprado,a
214,thebostonbuddha,a
215,beeshanti,a
216,anfurst,a
217,alessandraplesi,a
218,alanafernandez,a
219,alikatz,a
220,aaliyahmadadi,a
221,ambikachant,a
222,andreavaliante,a
223,analiaherrlein,a
224,amigosdeluz,a
225,apramadalifestyle,a
226,alicebh,a
227,annapn,a
228,angelarosellc,a
229,alisapoplavskaya,a
230,arjen,a
231,mandaliahouse,a
232,aconsciousspace,a
233,geniuspoet,a
234,martineznotte,a
235,anitakaiserwellness,a
236,soundmind,a
237,swiftriverhorizons,a
238,angelapatnode,a
239,anurada,a
240,antoniocelotto,a
241,abbyroad,a
242,alexagoncalves,a
243,almir,a
244,andyotto,a
245,alejandrom,a
246,aphinya,a
247,enlightenwithalex,a
248,andreahalaby,a
249,analeescottprater,a
250,speakitintoexistence,a
251,ashleyhuntmeditation,a
252,anukampa,a
253,anthonybr,a
254,andrebritto,a
255,angiegallis,a
256,aprilsingsalot,a
257,adrianaspataru,a
258,andreabassanini,a
259,aleksandrvolodin,a
260,adelestewart,a
261,africayogaproject,a
262,angelicacaceres,a
263,anishamahajan,a
264,anthonynuod,a
265,atmosphare,a
266,aubklein,a
267,sylvani,a
268,andkeh,a
269,alicialove,a
270,anthonyprofeta,a
271,thehausofhealth,a
272,annaeb,a
273,empowheryou,a
274,annashelley,a
275,alexandra_mclash,a
276,avinoamlerner,a
277,amymingin,a
278,arinaribeiro,a
279,naturallyashlie,a
280,aswathaman,a
281,ancientmemory,a
282,annabellebini,a
283,amaratmakaur,a
284,alexssi,a
285,alexis_bethel,a
286,amandamossing,a
287,amandahayes,a
288,ashleychymiy,a
289,anishanirvani,a
290,abbywynne,a
291,andresph,a
292,activepause,a
293,art,a
294,alspacas,a
295,annabellezinser,a
296,achtsamkeitmitanna,a
297,acorn.content,a
298,anesumbizvo,a
299,amymoroz,a
300,mindfulnessmeetingplace,a
301,annevetter,a
302,andrewdaniel,a
303,andrianacrawford,a
304,adrienneione,a
305,amandadicristina,a
306,breathecalmuk,a
307,annasofia,a
308,andreaashley,a
309,amitaschmidt,a
310,aldigo,a
311,alexandraarbogast,a
312,annahataliving,a
313,angelique_meditation,a
314,frommindtoheart,a
315,alanaearthangel,a
316,alleycatreiki,a
